"0001.hk","0011.hk","0293.hk","0941.hk","1299.hk"
112.677444,137.306229,19.143787,104.799736,50.040539
113.416786,137.035767,19.086357,103.705223,49.609158
113.28228,136.404694,19.124643,100.968941,49.657085
113.954842,138.388107,18.741768,101.607407,48.986042
111.870361,137.576675,18.454611,101.881035,48.458797
111.131004,138.297928,18.205742,100.877724,49.033985
108.374916,138.658569,18.090878,98.232658,49.465363
109.719101,138.297928,18.722622,98.68869,49.129837
109.383293,136.765274,18.435467,98.232658,49.321568
108.912018,136.494843,18.588619,96.864517,48.925915
108.710732,140.46167,18.569473,95.9524,48.684658
108.845238,140.91243,18.971495,95.9524,48.588161
113.28228,142.445053,19.105497,99.418373,50.518177
112.609711,141.723816,18.971495,96.590881,50.614681
113.349068,142.450119,18.952349,95.861206,50.180428
112.744232,143.085724,18.990637,94.493057,49.408417
115.164513,142.722549,19.067211,94.219437,49.263664
115.769356,144.265976,19.430943,96.499672,49.842667
110.996506,144.901474,19.67024,97.046928,51.290184
111.184624,144.992279,19.718102,96.226044,50.469925
113.818443,142.087006,19.430943,94.219437,48.829411
113.818443,141.269897,19.009781,93.124924,49.263664
115.417549,141.269897,18.741768,94.219437,49.746174
115.605675,140.634354,18.684336,93.763382,49.118919
110.996506,141.451462,18.760912,95.405151,49.070663
107.516113,140.997513,18.454611,95.016953,49.118919
107.516113,139.635666,18.722622,94.55481,48.974163
106.199196,137.547485,18.244028,93.630524,48.925915
105.352608,137.638275,18.110023,91.504654,48.395161
104.035698,137.547485,17.822866,90.395508,47.864407
104.317902,138.818542,17.765434,92.52137,48.009159
106.481384,139.817261,17.68886,94.000237,48.73291
105.446678,139.908066,18.014305,92.706238,48.346909
106.199196,138.727753,17.765434,91.689507,48.395161
106.857651,138.455383,18.167454,92.79866,48.73291
107.23391,139.090912,18.320604,91.504654,48.73291
109.867729,139.181702,18.454611,92.013023,49.553165
109.491463,139.544846,18.818344,93.815384,51.000679
111.184624,141.723831,19.124643,96.773102,50.904182
110.808372,139.908066,19.143787,95.386658,50.469925
109.867729,140.725159,19.067211,93.630524,50.85593
107.422035,138.273788,18.646049,92.244087,49.987419
105.728874,136.911957,18.435467,91.735733,48.346909
107.139847,137.547485,18.244028,91.735733,48.974163
107.045784,137.72905,18.741768,92.706238,49.939171
106.105133,137.819824,18.646049,92.382729,49.215416
102.4366,135.186935,18.473753,89.101494,47.767902
103.471321,134.460602,18.722622,88.500717,48.29866
98.956207,129.103958,17.478277,83.139832,45.451881
102.154404,132.826401,18.014305,84.664909,47.671406
104.411957,135.913239,17.937729,88.593147,47.816151
105.446678,138.182999,18.167454,88.500717,48.781162
105.352608,136.639572,18.301462,89.055283,48.153908
105.540749,137.002747,18.090878,89.933365,48.925915
105.446678,137.819824,18.358891,90.164436,48.63641
108.268623,140.180374,18.626905,90.164436,48.974163
108.174561,140.271194,18.722622,90.765213,48.829411
108.550819,141.269897,18.837486,94.462379,49.215416
107.704224,140.997513,18.301462,93.353233,48.588161
107.610161,141.542236,18.588619,93.075943,49.64967
107.798302,141.814636,18.569473,92.613808,48.829411
104.694153,140.089615,18.186598,89.378784,47.333649
105.16449,140.452759,18.110023,90.349289,48.588161
105.070412,141.633041,17.995161,91.366013,48.829411
105.728874,142.540939,17.899443,92.33651,48.346909
108.268623,144.265976,17.554853,93.815384,48.73291
106.951714,144.901474,17.478277,92.013023,47.430149
107.516113,145.173859,17.669716,91.920578,47.671406
106.387329,144.71991,17.516565,93.168388,48.153908
107.422035,144.992279,17.612284,92.52137,47.864407
